Vardas                           Pavarde                         1nd  2nd  3nd  4nd  5nd egz.
Vardas1                          Pavarde1                         9    1    9    4    4    8    
Vardas2                          Pavarde2                         10   2    8    7    1    4    
Vardas3                          Pavarde3                         1    1    7    10   4    4    
Vardas4                          Pavarde4                         2    5    8    4    3    1    
Vardas5                          Pavarde5                         3    9    8    1    3    1    
Vardas6                          Pavarde6                         10   7    7    4    10   2    
Vardas7                          Pavarde7                         6    9    7    6    9    9    
Vardas8                          Pavarde8                         4    9    9    6    8    9    
Vardas9                          Pavarde9                         10   5    4    3    8    10   
Vardas10                         Pavarde10                        5    4    3    3    9    7    
Vardas11                         Pavarde11                        1    1    3    9    10   4    
Vardas12                         Pavarde12                        6    10   5    8    2    9    
Vardas13                         Pavarde13                        2    4    1    9    10   3    
Vardas14                         Pavarde14                        8    5    2    4    4    2    
Vardas15                         Pavarde15                        6    8    5    1    5    3    
Vardas16                         Pavarde16                        9    7    3    5    9    3    
Vardas17                         Pavarde17                        9    8    2    10   8    3    
Vardas18                         Pavarde18                        1    5    5    5    8    9    
Vardas19                         Pavarde19                        10   10   7    9    5    7    
Vardas20                         Pavarde20                        10   10   2    9    7    3    
Vardas21                         Pavarde21                        10   9    6    6    1    7    
Vardas22                         Pavarde22                        10   9    5    5    7    9    
Vardas23                         Pavarde23                        1    4    2    7    9    4    
Vardas24                         Pavarde24                        8    10   10   10   4    10   
Vardas25                         Pavarde25                        2    5    3    3    8    10   
Vardas26                         Pavarde26                        4    9    9    3    10   6    
Vardas27                         Pavarde27                        6    9    2    5    9    10   
Vardas28                         Pavarde28                        9    1    5    8    1    4    
Vardas29                         Pavarde29                        7    2    8    1    4    6    
Vardas30                         Pavarde30                        6    4    10   2    1    4    
Vardas31                         Pavarde31                        2    1    8    8    6    2    
Vardas32                         Pavarde32                        4    7    7    9    5    9    
Vardas33                         Pavarde33                        1    4    5    2    10   4    
Vardas34                         Pavarde34                        2    3    5    1    9    4    
Vardas35                         Pavarde35                        4    7    8    7    7    9    
Vardas36                         Pavarde36                        9    9    4    8    9    3    
Vardas37                         Pavarde37                        9    6    10   2    4    4    
Vardas38                         Pavarde38                        9    1    9    6    10   6    
Vardas39                         Pavarde39                        3    9    2    4    7    5    
Vardas40                         Pavarde40                        3    1    2    2    6    6    
Vardas41                         Pavarde41                        7    7    9    8    7    2    
Vardas42                         Pavarde42                        3    8    3    9    10   9    
Vardas43                         Pavarde43                        2    5    7    10   2    8    
Vardas44                         Pavarde44                        4    6    2    2    9    8    
Vardas45                         Pavarde45                        7    1    4    2    10   2    
Vardas46                         Pavarde46                        6    8    8    1    6    10   
Vardas47                         Pavarde47                        10   2    6    5    9    6    
Vardas48                         Pavarde48                        3    8    9    6    2    7    
Vardas49                         Pavarde49                        1    8    5    6    10   6    
Vardas50                         Pavarde50                        4    7    4    1    7    3    
Vardas51                         Pavarde51                        8    3    4    7    1    9    
Vardas52                         Pavarde52                        3    10   1    4    10   7    
Vardas53                         Pavarde53                        7    1    7    9    9    6    
Vardas54                         Pavarde54                        9    2    9    4    9    8    
Vardas55                         Pavarde55                        1    10   8    2    3    1    
